Number	Identity File	URL	Country Code	Country	Region	Source	Main URL	Area	Comment	FORCE
415	info_415.xml	http://revistas.uned.es/index.php/ELIA/oai	es	Spain		URL CC Extension	revistas.uned.es			1
416	info_416.xml	http://revistas.uned.es/index.php/index/oai	es	Spain		URL CC Extension	revistas.uned.es			1
417	info_417.xml	http://revistaseug.ugr.es/index.php/index/oai	es	Spain		URL CC Extension	revistaseug.ugr.es			1
418	info_418.xml	http://riull.ull.es/oai/request	es	Spain		URL CC Extension	riull.ull.es			1
419	info_419.xml	https://riuma.uma.es/oai/request	es	Spain		URL CC Extension	riuma.uma.es			1
42	info_42.xml	http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/psicogente/oai	co	Colombia		URL CC Extension	publicaciones.unisimonbolivar.edu.co			1
420	info_420.xml	http://rjb.revistas.csic.es/index.php/rjb/oai	es	Spain		URL CC Extension	rjb.revistas.csic.es			1
421	info_421.xml	http://roderic.uv.es/oai/request	es	Spain		URL CC Extension	roderic.uv.es			1
422	info_422.xml	http://rodin.uca.es/oai/request	es	Spain		URL CC Extension	rodin.uca.es			1
424	info_424.xml	http://ruhm.es/index.php/RUHM/oai	es	Spain		URL CC Extension	ruhm.es			1
425	info_425.xml	http://sbir.upct.es/index.php/sbir/oai	es	Spain		URL CC Extension	sbir.upct.es			1
426	info_426.xml	http://scientiamarina.revistas.csic.es/index.php/scientiamarina/oai	es	Spain		URL CC Extension	scientiamarina.revistas.csic.es			1
427	info_427.xml	http://sefarad.revistas.csic.es/index.php/sefarad/oai	es	Spain		URL CC Extension	sefarad.revistas.csic.es			1
428	info_428.xml	http://tantra.org.es/revista/index.php/Biblioteca/oai	es	Spain		URL CC Extension	tantra.org.es			1
429	info_429.xml	http://tp.revistas.csic.es/index.php/tp/oai	es	Spain		URL CC Extension	tp.revistas.csic.es			1
43	info_43.xml	http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/justicia/oai	co	Colombia		URL CC Extension	publicaciones.unisimonbolivar.edu.co			1
430	info_430.xml	http://travesia.mcu.es/portalnb/oai/request	es	Spain		URL CC Extension	travesia.mcu.es			1
431	info_431.xml	https://udimundus.udima.es/oai/request	es	Spain		URL CC Extension	udimundus.udima.es			1
432	info_432.xml	http://uvadoc.uva.es/oai/request	es	Spain		URL CC Extension	uvadoc.uva.es			1
434	info_434.xml	http://www.bibliotecavirtualdeandalucia.es/catalogo/i18n/oai/oai_bibliotecavirtualandalucia.juntadeandalucia.es.cmd	es	Spain		URL CC Extension	www.bibliotecavirtualdeandalucia.es			1
435	info_435.xml	http://www.bivizar.es/i18n/oai/oai_www.bivizar.es.cmd	es	Spain		URL CC Extension	www.bivizar.es			1
437	info_437.xml	http://www.cortesaragon.es/fondoHistorico/i18n/oai/oai_fondohistorico.cortesaragon.es.cmd	es	Spain		URL CC Extension	www.cortesaragon.es			1
438	info_438.xml	http://www.derechoaragones.es/i18n/oai/oai_derechoaragones.es.cmd	es	Spain		URL CC Extension	www.derechoaragones.es			1
439	info_439.xml	http://www.investigo.biblioteca.uvigo.es/oai/request	es	Spain		URL CC Extension	www.investigo.biblioteca.uvigo.es			1
44	info_44.xml	http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/index/oai	co	Colombia		URL CC Extension	publicaciones.unisimonbolivar.edu.co			1
440	info_440.xml	http://www.juntadeandalucia.es/cultura/cdaea/elektra/oai.xml	es	Spain		URL CC Extension	www.juntadeandalucia.es			1
441	info_441.xml	http://www.bibliotecavirtualdeandalucia.es/catalogo/i18n/oai/oai_bibliotecavirtualandalucia.juntadeandalucia.es.cmd	es	Spain		URL CC Extension	www.bibliotecavirtualdeandalucia.es			1
442	info_442.xml	http://www.larramendi.es/i18n/oai/oai_aut.larramendi.es.do	es	Spain		URL CC Extension	www.larramendi.es			1
443	info_443.xml	http://www.larramendi.es/i18n/oai/oai_larramendi.es.do	es	Spain		URL CC Extension	www.larramendi.es			1
444	info_444.xml	http://www.euskalmemoriadigitala.eus/oai/request	ww	Global		ZZ Needs Checking	www.euskalmemoriadigitala.eus			1
445	info_445.xml	http://www.nreg.es/ojs/index.php/RDC/oai	es	Spain		URL CC Extension	www.nreg.es			1
447	info_447.xml	http://www.ogigia.es/index.php/ogigia/oai	es	Spain		URL CC Extension	www.ogigia.es			1
448	info_448.xml	http://www.ojs.casosclinicosensaludmental.es/ojs/index.php/RCCSM/oai	es	Spain		URL CC Extension	www.ojs.casosclinicosensaludmental.es			1
452	info_452.xml	http://www.repositorio.ieo.es/oai/request	es	Spain		URL CC Extension	www.repositorio.ieo.es			1
453	info_453.xml	http://www.riarte.es/oai/request	es	Spain		URL CC Extension	www.riarte.es			1
454	info_454.xml	http://www.tonosdigital.es/ojs/index.php/journal/oai	es	Spain		URL CC Extension	www.tonosdigital.es			1
455	info_455.xml	http://www.uco.es/servicios/publicaciones/revistas/index.php/cco/oai	es	Spain		URL CC Extension	www.uco.es			1
456	info_456.xml	http://www.uco.es/docencia/grupos/reduca/index.php/reduca/oai	es	Spain		URL CC Extension	www.uco.es			1
457	info_457.xml	http://xn--archivoespaoldearte-53b.revistas.csic.es/index.php/aea/oai	es	Spain		URL CC Extension	xn--archivoespaoldearte-53b.revistas.csic.es			1
458	info_458.xml	http://xn--revistadefilologiaespaola-uoc.revistas.csic.es/index.php/rfe/oai	es	Spain		URL CC Extension	xn--revistadefilologiaespaola-uoc.revistas.csic.es			1
46	info_46.xml	http://aprendeenlinea.udea.edu.co/revistas/index.php/index/oai	co	Colombia		URL CC Extension	aprendeenlinea.udea.edu.co			1
460	info_460.xml	http://journals.bdu.edu.et/index.php/index/oai	et	Etheopia		URL CC Extension	journals.bdu.edu.et			1
462	info_462.xml	http://ccjournals.eu/ojs/index.php/customs/oai	eu	European union		URL CC Extension	ccjournals.eu			1
